时间戳,高炉编号,温度,压力,风量,喷煤量,料面高度,煤气流量,氧气含量,生产率,能耗,铁水温度,铁水含硅量,常量信号,状态
2026-03-09 12:47:10,BF-001,1254.80,171.82,4889.20,148.30,5.11,2684.00,22.46,47.80,1015.00,1470.50,0.38,5.00,装料中
2026-03-09 12:47:11,BF-002,1263.40,160.44,4611.80,148.30,5.48,2407.00,23.09,42.40,1017.80,1465.20,0.35,5.00,装料中
2026-03-09 12:47:12,BF-003,1257.60,168.38,4868.30,149.50,5.21,2647.00,22.66,46.00,1010.40,1470.10,0.36,5.00,装料中
2026-03-09 12:47:13,BF-001,1262.00,170.32,4767.50,150.50,5.02,2580.00,22.52,44.80,1020.60,1469.90,0.36,5.00,装料中
2026-03-09 12:47:14,BF-002,1265.40,158.66,4580.30,145.30,5.41,2309.00,22.96,42.80,1011.70,1468.10,0.37,5.00,装料中
2026-03-09 12:47:15,BF-003,1262.90,165.57,4841.80,145.60,5.21,2498.00,22.68,45.90,1009.20,1471.40,0.37,5.00,装料中
2026-03-09 12:47:16,BF-001,1267.20,167.36,4678.30,149.60,5.30,2473.00,23.04,44.40,1010.00,1470.50,0.37,5.00,装料中
2026-03-09 12:47:17,BF-002,1266.20,158.71,4531.10,145.10,5.57,2325.00,22.37,42.40,1016.50,1469.60,0.38,5.00,装料中
2026-03-09 12:47:18,BF-003,1267.30,164.87,4716.60,146.10,5.20,2388.00,22.55,45.80,1002.10,1470.60,0.37,5.00,装料中
2026-03-09 12:47:19,BF-001,1273.20,165.61,4644.50,145.60,5.35,2432.00,22.95,44.10,1008.90,1468.10,0.36,5.00,装料中
2026-03-09 12:47:20,BF-002,1268.70,154.65,4472.00,143.20,5.47,2263.00,22.32,40.60,1013.90,1467.30,0.35,5.00,预警
2026-03-09 12:47:21,BF-003,1271.20,162.92,4618.20,143.00,5.32,2349.00,23.16,43.80,1004.30,1469.60,0.35,5.00,装料中
2026-03-09 12:47:22,BF-001,1279.70,179.74,4876.40,149.70,4.59,2604.00,23.54,46.00,1029.10,1465.00,0.37,5.00,波动调整
2026-03-09 12:47:23,BF-002,1269.30,155.60,4409.90,141.30,5.71,2314.00,22.41,40.20,1006.80,1464.10,0.33,5.00,预警
2026-03-09 12:47:24,BF-003,1274.50,160.65,4614.60,142.80,5.57,2442.00,22.96,44.70,998.80,1467.30,0.36,5.00,装料中
2026-03-09 12:47:25,BF-001,1288.70,193.56,4970.40,149.40,4.44,2874.00,23.43,50.70,1019.30,1472.30,0.39,5.00,波动调整
2026-03-09 12:47:26,BF-002,1268.10,152.23,4346.40,144.80,5.66,2224.00,22.35,38.70,1012.80,1468.30,0.34,5.00,预警
2026-03-09 12:47:27,BF-003,1273.70,159.76,4547.50,141.80,5.41,2324.00,22.82,43.90,1002.80,1471.10,0.35,5.00,装料中
2026-03-09 12:47:28,BF-001,1293.30,192.93,5099.60,152.60,4.29,2734.00,22.89,51.60,997.30,1472.20,0.34,5.00,波动调整
2026-03-09 12:47:29,BF-002,1270.60,150.29,4389.50,142.00,5.60,2162.00,22.62,40.30,1007.20,1464.00,0.35,5.00,预警
2026-03-09 12:47:30,BF-003,1272.70,155.74,4518.20,138.30,5.73,2237.00,22.81,42.40,1008.10,1467.90,0.37,5.00,预警
2026-03-09 12:47:31,BF-001,1295.10,185.39,5167.20,155.50,4.24,2746.00,22.50,52.70,997.70,1469.30,0.38,5.00,波动调整
2026-03-09 12:47:32,BF-002,1275.60,150.23,4413.80,142.30,5.75,2171.00,22.59,40.40,1009.70,1467.10,0.38,5.00,预警
2026-03-09 12:47:33,BF-003,1274.50,157.02,4516.40,142.20,5.54,2349.00,23.03,43.20,1014.00,1465.90,0.39,5.00,装料中
2026-03-09 12:47:34,BF-001,1295.60,187.55,5271.60,157.70,3.57,2968.00,23.49,56.10,1015.10,1466.60,0.40,5.00,波动调整
2026-03-09 12:47:35,BF-002,1273.10,149.53,4659.30,143.60,4.87,2251.00,23.65,42.30,1014.60,1468.50,0.35,5.00,预警
2026-03-09 12:47:36,BF-003,1279.10,155.12,4533.40,141.90,5.70,2332.00,22.97,42.90,998.80,1469.50,0.34,5.00,装料中
2026-03-09 12:47:37,BF-001,1301.50,185.76,5225.80,154.80,3.85,2890.00,23.05,54.90,993.00,1470.10,0.34,5.00,送风中
2026-03-09 12:47:38,BF-002,1270.60,163.54,4936.40,150.00,4.78,2548.00,23.06,47.40,994.70,1462.70,0.37,5.00,波动调整
2026-03-09 12:47:39,BF-003,1280.10,157.28,4617.60,142.40,5.23,2363.00,23.17,44.50,1010.20,1466.10,0.35,5.00,送风中
2026-03-09 12:47:40,BF-001,1304.90,183.20,5193.00,156.40,3.84,2793.00,22.69,52.70,1002.40,1468.70,0.39,5.00,送风中
2026-03-09 12:47:41,BF-002,1279.40,172.98,5059.90,157.30,5.06,2635.00,23.55,50.20,1006.60,1471.60,0.34,5.00,波动调整
2026-03-09 12:47:42,BF-003,1283.10,159.59,4683.80,144.70,5.25,2408.00,22.52,44.20,1005.70,1467.90,0.36,5.00,送风中
2026-03-09 12:47:43,BF-001,1305.30,179.12,5137.20,153.40,4.29,2831.00,22.57,50.70,1007.90,1470.20,0.37,5.00,送风中
2026-03-09 12:47:44,BF-002,1283.20,170.42,5022.90,155.40,4.84,2579.00,22.81,51.80,1005.30,1467.60,0.38,5.00,送风中
2026-03-09 12:47:45,BF-003,1281.20,162.20,4700.50,143.70,4.99,2415.00,22.42,44.40,995.90,1467.40,0.36,5.00,送风中
2026-03-09 12:47:46,BF-001,1303.90,177.10,5117.80,157.90,4.13,2790.00,22.86,52.40,996.70,1467.90,0.35,5.00,送风中
2026-03-09 12:47:47,BF-002,1287.10,173.32,5008.40,151.70,4.69,2704.00,23.23,49.50,997.10,1472.00,0.36,5.00,送风中
2026-03-09 12:47:48,BF-003,1282.10,160.68,4726.30,146.20,5.14,2367.00,22.79,46.20,1002.80,1466.00,0.39,5.00,送风中
2026-03-09 12:47:49,BF-001,1304.90,173.78,5157.70,154.80,4.39,2834.00,23.08,51.50,995.30,1471.10,0.35,5.00,送风中
2026-03-09 12:47:50,BF-002,1291.20,170.47,4976.40,154.60,5.01,2561.00,23.48,49.50,1009.40,1472.70,0.40,5.00,送风中
2026-03-09 12:47:51,BF-003,1282.30,161.37,4728.80,147.20,4.83,2492.00,23.02,46.10,1011.90,1471.20,0.35,5.00,送风中
2026-03-09 12:47:52,BF-001,1303.10,173.61,5095.50,153.80,4.51,2680.00,22.66,50.30,1008.60,1467.80,0.36,5.00,送风中
2026-03-09 12:47:53,BF-002,1290.00,171.16,4979.90,154.40,5.03,2607.00,23.09,49.80,1021.40,1472.50,0.41,5.00,送风中
2026-03-09 12:47:54,BF-003,1286.20,164.34,4827.40,145.20,4.84,2514.00,23.37,48.20,1011.60,1469.20,0.38,5.00,冶炼中
2026-03-09 12:47:55,BF-001,1307.80,174.87,5199.70,154.10,4.44,2720.00,23.22,54.00,1002.50,1465.70,0.38,5.00,冶炼中
2026-03-09 12:47:56,BF-002,1289.20,173.45,4997.50,154.10,4.89,2738.00,22.67,48.60,1010.50,1473.20,0.35,5.00,送风中
2026-03-09 12:47:57,BF-003,1285.40,165.91,4958.70,148.30,4.73,2515.00,22.70,48.60,998.90,1465.40,0.39,5.00,冶炼中
2026-03-09 12:47:58,BF-001,1306.60,178.13,5194.70,154.30,4.12,2805.00,22.78,52.80,994.30,1471.30,0.36,5.00,冶炼中
2026-03-09 12:47:59,BF-002,1295.00,173.36,5048.70,152.10,5.06,2650.00,23.43,49.80,997.90,1472.50,0.40,5.00,送风中
